ءی	1.0	i
آ 1.0	A 
ابوظهبی 1.0	y b u z y h b i 
ابھرتے 1.0	U bh y r td e 
ابھی 1.0	y bh i 
اتارتا 1.0	U td A r td A 
اتارنا 1.0	U td A r n A 
اتحاد 1.0	i td td i h A dd 
اترتا 1.0	U td y r td A 
اترن 1.0	U td r y n 
اتفاق 1.0	i td td i f A q 
اتنا 1.0	U td n A 
اتنا 1.0	i td n A 
اتنی 1.0	i td n i 
اتوار 1.0	i td v A r 
اتھارٹی 1.0	y tdh A r i t' i 
اتھلیٹکس 1.0	y tdh l Y t' i k s 
اثر 1.0	y s y r 
اثرات 1.0	y s r A td 
اثرات 1.0	y s y r A td 
اجازت 1.0	i dZ A z y td 
اجتناب 1.0	i dZ td i n A b 
اجلاس 1.0	i dZ l A s 
احادیث 1.0	A dd i s 
احادیث 1.0	y h A dd i s 
احادیث 1.0	y h y dd i s 
احتجاج 1.0	i h td i dZ A dZ 
احتجاجا 1.0	i h td i dZ A dZ y n 
احتجاجی 1.0	i h td i dZ A dZ i 
احتساب 1.0	i h td i s A b 
احتیاط 1.0	i h td i j A td 
احسا 1.0	y h s A 
احساس 1.0	i h s A s 
احسان 1.0	i h s A n 
احمد 1.0	y h m y dd 
احکامات 1.0	i h k A m A td 
اخبار 1.0	i x b A r 
اختتام 1.0	i x td i td A m 
اختر 1.0	y x td y r 
اختلاف 1.0	i x td i l A f 
اختلافات 1.0	i x td i l A f A td 
اختیار 1.0	i x td i j A r 
اخراجات 1.0	y x r A dZ A td 
اخلاقی 1.0	y x l A q i 
ادا 1.0	y dd A 
اداره 1.0	i dd A r A 
اداروں 1.0	i dd A r o~ 
ادارۂ	1.0	y dd A r q
ادارے 1.0	i dd A r e 
اداسی 1.0	U dd A s i 
اداشت	1.0	y dd A S td
ادب 1.0	y dd y b 
ادریس 1.0	i dd r i s 
ادوار 1.0	y dd v A r 
ادویات 1.0	y dd v i j A td 
ادھر 1.0	U dd y r 
ادھر 1.0	U ddh y r 
ادھر 1.0	i dd y r 
ادھر 1.0	i ddh y r 
اراکین 1.0	y r A k i n 
ارب 1.0	y r y b 
اردو 1.0	U r dd u 
ارشاد 1.0	i r S A dd 
ارم 1.0	i r y m 
ارکان 1.0	y r k A n 
ارے 1.0	y r e 
ازاں 1.0	y z A~ 
ازبکستان 1.0	U z b i k i s td A n 
ازل 1.0	y z y l 
ازیں 1.0	y z i~ 
اس 1.0	U s 
اس 1.0	i s 
اساتذه 1.0	y s A td i z A 
اساس 1.0	y s A s 
استاد 1.0	U s td A dd 
استطاعت 1.0	i s td i td A y td 
استعمال 1.0	i s td i m A l 
استواءی 1.0	i s td i v A i 
اسحاق 1.0	i s h A q 
اسحق	1.0	i s h y q
اسد 1.0	y s y dd 
اسراءیل 1.0	i s r A i l 
اسلام 1.0	i s l A m 
اسلام 1.0	y s l A m 
اسلامی 1.0	i s l A m i 
اسلامیه 1.0	i s l A m i j A 
اسمارٹ 1.0	i s m A r t' 
اسمبلی 1.0	y s y m b l i 
اسناد 1.0	y s n A dd 
اسوقت 1.0	i s v y q td 
اسٹریٹیجک	1.0	i s t' y r i t' e dZ i k
اسٹیبلشمنٹ 1.0	i s t' Y b l i S m y n t' 
اسٹیشن 1.0	i s t' e S y n 
اسٹیشنز 1.0	i s t' e S y n z 
اسٹیٹس 1.0	i s t' e t' y s 
اسٹیڈیم 1.0	i s t' e d' j y m 
اسکلز 1.0	i s k i l z 
اسکول 1.0	s k u l 
اسکی 1.0	U s k i 
اسکی 1.0	i s k i 
اسکے 1.0	U s k e 
اسی 1.0	y s s i 
اسے 1.0	U s e 
اسے 1.0	i s e 
اشتعال 1.0	i S td i A l 
اشتهار 1.0	i S td i h A r 
اشخاص 1.0	y S x A s 
اشد 1.0	y S y dd 
اشرفیه 1.0	y S r y f i j A 
اشعار 1.0	y S A r 
اصرار 1.0	i s r A r 
اصل 1.0	y s l 
اصل 1.0	y s y l 
اصلی 1.0	y s l i 
اصول 1.0	U s u l 
اصولوں 1.0	U s u l o~ 
اضافه 1.0	i z A f A 
اضافی 1.0	i z A f i 
اضافے 1.0	i z A f e 
اضلاع 1.0	y z l A 
اطالوی 1.0	y td A l v i 
اطراف 1.0	y td r A f 
اطلاع 1.0	i td td i l A 
اطلاعات 1.0	i td td i l A A td 
اطمینان 1.0	i td m i n A n 
اظهار 1.0	i z h A r 
اظهاری 1.0	i z h A r i 
اعتماد 1.0	i td i m A dd 
اعداد 1.0	y dd A dd 
اعزاز 1.0	i z A z 
اعشاریه 1.0	y S A r i j A 
اعضاء	1.0	y z A
اعظم 1.0	A z y m 
اعلان 1.0	e l A n 
اعلی 1.0	y y l A 
اغاز	1.0	y 7 A z
اغوا 1.0	i 7 v A 
اغواء	1.0	i 7 v A
افادیت 1.0	i f A dd i j y td 
افتاده 1.0	U f td A dd A 
افتتاح 1.0	i f td i td A 
افتخار 1.0	i f td i x A r 
افراتفری 1.0	y f r A td y f r i 
افراد 1.0	y f r A dd 
افروز 1.0	y f r o z 
افریقه 1.0	y f r i q A 
افریقی 1.0	y f r i q i 
افزاءی 1.0	y f z A i 
افسانوی 1.0	y f s A n v i 
افسر 1.0	y f s y r 
افسران 1.0	y f s y r A n 
افسرده 1.0	y f s U r dd A 
افسوس 1.0	y f s o s 
افشانی 1.0	y f S A n i 
افضل 1.0	y f z y l 
افطار 1.0	i f td A r 
افظار	1.0	y f z A r
افغان 1.0	y f 7 A n 
افغانستان 1.0	y f 7 A n i s td A n 
افلاک 1.0	y f l A k 
افواج 1.0	y f v A dZ 
اقبال 1.0	i q b A l 
اقتصادی 1.0	i q td i s A dd i 
اقدامات 1.0	i q dd A m A td 
اقسام 1.0	y q s A m 
اقوام 1.0	y q v A m 
الارم 1.0	y l A r y m 
البته 1.0	y l b y td td A 
الجھن 1.0	U l dZh y n 
الخلا	1.0	U l x y l A
الخیر 1.0	y l x Y r 
الدین	1.0	U dd dd i n
الرحمن 1.0	y r r E h m A n 
الرحیم 1.0	y r r y h i m 
الرفق	1.0	y l y r f i q
الزام 1.0	i l z A m 
الزامات 1.0	i l z A m A td 
الشان	1.0	S A n
الصرف	1.0	s i r i f
الفاظ 1.0	y l f A z 
الله 1.0	y l l A 
الله 1.0	y l l A h 
الله 1.0	y l l A h o 
الله 1.0	y l l A h u 
الناس	1.0	U l i s
النحو	1.0	U l n y h u
اله 1.0	i l A 
الواسع 1.0	y l v A s e 
الٹے 1.0	U l t' e 
الیکشن 1.0	i l Y k S y n 
الے	1.0	U l e
امارات 1.0	i m A r A td 
امام 1.0	i m A m 
امام 1.0	i m A m e 
امتحانی 1.0	i m td i h A n i 
امتیاز 1.0	i m td i j A z 
امداد 1.0	i m dd A dd 
امدادی 1.0	i m dd A dd i 
امر 1.0	y m y r 
امرا 1.0	U m y r A 
امراض 1.0	y m r A z 
امریکی 1.0	y m r i k i 
املاک 1.0	i m l A k 
امن 1.0	y m n 
اموات 1.0	y m v A td 
امور 1.0	U m u r 
امکان 1.0	i m k A n 
امی 1.0	U m m i 
امید 1.0	U m i dd 
امیر 1.0	y m i r 
امیروں 1.0	y m i r o~ 
ان 1.0	U n 
ان 1.0	i n 
ان 1.0	y n 
انتخاب 1.0	i n td i x A b 
انتخابات 1.0	i n td i x A b A td 
انتظار 1.0	i n td i z A r 
انتظام 1.0	i n td i z A m 
انتظامی 1.0	i n td i z A m i 
انتظامیه 1.0	i n td i z A m i j A 
انتهاء	1.0	i n td y h A
انتهاءی 1.0	i n td i h A i 
انتیس 1.0	U n td i s 
انتیس 1.0	U n y td i s 
انجام 1.0	y n dZ A m 
انجانی 1.0	y n dZ A n i 
انجمن 1.0	y n dZ U m y n 
انجن 1.0	i n dZ y n 
انجینءر 1.0	i n dZ i n i y r 
انحصار 1.0	i n h i s A r 
انداز 1.0	y n dd A z 
اندازه 1.0	y n dd A z A 
اندر 1.0	i n dd y r 
اندھیرے 1.0	y n ddh e r e 
انسان 1.0	i n s A n 
انسانوں 1.0	i n s A n o~ 
انسانی 1.0	i n s A n i 
انسانیت 1.0	i n s A n i j y td 
انسداد 1.0	i n s i dd A dd 
انسٹی	1.0	i n s t' i
انسٹیٹیوٹ 1.0	i n s t' i t' i j u t' 
انسپکٹر 1.0	i n s p y k t' y r 
انصاف 1.0	i n s A f 
انهضام 1.0	i n h i z A m 
انهوں 1.0	U n o~ 
انهوں 1.0	U nh o 
انهوں 1.0	U nh o~ 
انهوں 1.0	i n o~ 
انهوں 1.0	i nh o 
انهوں 1.0	i nh o~ 
انهیں 1.0	U n e~ 
انهیں 1.0	U nh e 
انهیں 1.0	U nh e~ 
انهیں 1.0	i n e~ 
انهیں 1.0	i nh e 
انهیں 1.0	i nh e~ 
انوکھا 1.0	y n o kh A 
انوکھی 1.0	y n o kh i 
انٹر 1.0	i n t' y r 
انٹرنیشل	1.0	i n t' y r n e S y l
انٹرنیشنل 1.0	i n t' y r n Y S n y l 
انٹرنیٹ 1.0	i n t' y r n Y t' 
انچاس 1.0	U n tS A s 
انڈراءیڈ	1.0	i n d' y r A i d'
انڈیا 1.0	i n d' i j A 
انڈیز	1.0	i n d' i z
انڈین 1.0	i n d' i j y n 
انکار 1.0	i n k A r 
انکاری 1.0	i n k A r i 
انکشاف 1.0	i n k i S A f 
انگاروں 1.0	y N g A r o~ 
انگریز 1.0	y N r e z 
انگریزوں 1.0	y N r e z o~ 
انگریزی 1.0	y N r e z i 
انگلش 1.0	i N l i S 
انگلی 1.0	U N l i 
انگھنے	1.0	y N n e
انگیز 1.0	y N g e z 
انھوں 1.0	U n o~ 
انھوں 1.0	U nh o~ 
انھوں 1.0	i n o~ 
انھوں 1.0	i nh o~ 
انھی 1.0	U nh i 
انھی 1.0	i nh i 
انھیں 1.0	U n e~ 
انھیں 1.0	U nh e~ 
انھیں 1.0	i n e~ 
انھیں 1.0	i nh e~ 
انیس 1.0	U n n i s 
اهل 1.0	e h l 
اهل 1.0	e h l e 
اهل 1.0	y h l 
اهلکار 1.0	y h l k A r 
اهم 1.0	E h y m 
اهمیت 1.0	y h m i j y td 
اهے 1.0	y h e 
او 1.0	o 
اوبر	1.0	o b y r
اور 1.0	O r 
اور 1.0	o r 
اوران	1.0	o r A n
اوراپنے	1.0	o r A p n e
اوراینجل	1.0	o r Y n dZ y l
اوقات 1.0	O q A td 
اوقیانوس 1.0	o q y j A n u s 
اولاد 1.0	O l A dd 
اونچے 1.0	u~ tS e 
اوپر 1.0	u p y r 
اوڑی 1.0	u r' i 
اوگرا	1.0	o g y r A
اٹ 1.0	y t' 
اٹلی 1.0	i t' l i 
اٹھ 1.0	U t'h 
اٹھا 1.0	U t'h A 
اٹھاءیس 1.0	y t'h A i s 
اٹھاءے 1.0	U t'h A e 
اٹھاره	1.0	U t'h A r A
اٹھانا 1.0	U t'h A n A 
اٹھانے 1.0	U t'h A n e 
اٹھایا 1.0	U t'h A j A 
اٹھتا 1.0	U t'h td A 
اٹھی 1.0	U t'h i 
اپ 1.0	U p 
اپنا 1.0	y p n A 
اپنوں 1.0	y p n o~ 
اپنی 1.0	y p n i 
اپنے 1.0	y p n e 
اپوزیشن 1.0	y p o z i S y n 
اپیل 1.0	y p i l 
اچانک 1.0	y tS A n y k 
اچکا 1.0	U tS k A 
اچکزءی 1.0	y tS y k z y i 
اچھا 1.0	y tSh tSh A 
اچھنبے	1.0	U tSh i m b e
اچھی 1.0	y tSh tSh i 
اچھے 1.0	y tS tS tSh e 
اڈا 1.0	y d' A 
اڈا 1.0	y d' d' A 
اڈے 1.0	y d' d' e 
اکاءونٹ 1.0	y k A u n t' 
اکبر 1.0	y k b y r 
اکتالیس 1.0	i k td A l i s 
اکثر 1.0	y k s y r 
اکرم 1.0	y k r y m 
اکساتی 1.0	U k s A td i 
اکلوتے 1.0	i k l O td e 
اکهتر 1.0	i k h y td td y r 
اکٹھی 1.0	i k y t' tdh i 
اکیاون 1.0	i k j A v y n 
اکیس 1.0	i k k i s 
اگتا 1.0	U g td A 
اگر 1.0	y g y r 
اگربتیوں 1.0	y g y r b y td td i o~ 
اگرچه 1.0	y g y r tS e 
اگست 1.0	y g y s td 
اگلا 1.0	y g l A 
اگلے 1.0	y g l e 
ای 1.0	i 
ایءر 1.0	e y r 
ایءرلاءن 1.0	e y r l A i n 
ایجاد 1.0	i dZ A dd 
ایجادوں 1.0	i dZ A dd o~ 
ایجنڈے 1.0	e dZ y n d' e 
ایجوکیشن 1.0	Y dZ u k e S y n 
ایران 1.0	i r A n 
ایریا 1.0	e r i j A 
ایس 1.0	Y s 
ایس 1.0	e s 
ایسا 1.0	i s A 
ایسوسی 1.0	Y s u s i 
ایسی 1.0	Y s i 
ایسے 1.0	Y s e 
ایشن	1.0	e S y n
ایشیا 1.0	e S j A 
ایصال 1.0	i s A l 
ایف 1.0	Y f 
ایلوپیتھی 1.0	Y l o p Y tdh i 
ایم 1.0	Y m 
ایمانداری 1.0	i m A n dd A r i 
این 1.0	Y n 
اینجل 1.0	Y n dZ y l 
ایندھن 1.0	i n ddh y n 
اینڈ 1.0	Y n d' 
ایوبی 1.0	y j u b i 
ایپ 1.0	Y p 
ایپلیکیشن 1.0	Y p l i k e S y n 
ایچ 1.0	e tS 
ایڈریس 1.0	Y d' r Y s 
ایک 1.0	e k 
ایکشن 1.0	Y k S y n 
ایکٹ 1.0	Y k t' 
ایکٹر 1.0	Y k t' y r 
ایکٹرز 1.0	Y k t' y r z 
اے 1.0	e 
با 1.0	b A 
باءولرز 1.0	b A u l y r z 
باءیس 1.0	b A i s 
باءیک 1.0	b A i k 
بابر 1.0	b A b y r 
بابو 1.0	b A b u 
بات 1.0	b A td 
باتوں 1.0	b A td o~ 
باتیں 1.0	b A td e~ 
باجماعت 1.0	b A dZ y m A td 
باخبر 1.0	b A x y b y r 
باد 1.0	b A dd 
بادشا	1.0	b A dd i S A
بادشاه 1.0	b A dd S A 
بادشاهی 1.0	b A dd S A h i 
بادل 1.0	b A dd y l 
بادلوں 1.0	b A dd l o~ 
بار 1.0	b A r 
بارشوں 1.0	b A r i S o~ 
بارعب 1.0	b A r o b 
باره 1.0	b A r A 
بارڈر 1.0	b A r d' y r 
باری 1.0	b A r i 
باریک 1.0	b A r i k 
بارے 1.0	b A r e 
بازار 1.0	b A z A r 
بازو 1.0	b A z u 
بازی 1.0	b A z i 
بازیابی 1.0	b A z j A b i 
باسی 1.0	b A s i 
باشعور 1.0	b A S U u r 
باشندوں 1.0	b A S i n dd o~ 
باشندے 1.0	b A S i n dd e 
باعث 1.0	b A i s 
باغ 1.0	b A 7 
باقاعده 1.0	b A q A e dd A 
باقی 1.0	b A q i 
باقیات 1.0	b A q i j A td 
بال 1.0	b A l 
بالا 1.0	b A l A 
بالاءی 1.0	b A l A i 
بالاخر	1.0	b A l A x y r
بالخصوص 1.0	b i l x U s u s 
بالکل 1.0	b i l k U l 
بامقصد 1.0	b A m y q s y dd 
بانٹاجا	1.0	b A n t' A dZ A
باهر 1.0	b A h y r 
باهمت 1.0	b A h i m m y td 
باوجود 1.0	b A v U dZ u dd 
باور 1.0	b A v y r 
باورچی 1.0	b A v y r tS i 
باورچیوں 1.0	b A v y r tS i o~ 
باون 1.0	b A v y n 
باپ 1.0	b A p 
بتا 1.0	b U td td A 
بتاءو 1.0	b y td A o 
بتاءوں 1.0	b y td A u~ 
بتاءے 1.0	b y td A e 
بتاتا 1.0	b y td A td A 
بتاتی 1.0	b y td A td i 
بتاتے 1.0	b y td A td e 
بتانا 1.0	b U td A n A 
بتانے 1.0	b y td A n e 
بتایا 1.0	b y td A j A 
بتلاهے	1.0	b y td l A h e
بتی 1.0	b y td td i 
بتیس 1.0	b i td td i s 
بج 1.0	b y dZ 
بجا 1.0	b y dZ A 
بجاءے 1.0	b y dZ A e 
بجاکر	1.0	b y dZ A k y r
بجز 1.0	b y dZ U z 
بجلی 1.0	b i dZ l i 
بجھ 1.0	b U dZh 
بجھوا 1.0	b U dZh v A 
بجی 1.0	b y dZ i 
بجے 1.0	b i dZ Y 
بحال 1.0	b y h A l 
بحث 1.0	b y h y s 
بحثیت	1.0	b y h s i j y td
بحر 1.0	b y h r 
بحیرے	1.0	b y h i r e
بخار 1.0	b U x A r 
بدامنی 1.0	b y dd y m n i 
بدتمیزی 1.0	b y dd td y m i z i 
بدقسمتی 1.0	b y dd q i s m y td i 
بدل 1.0	b y dd i l 
بدل 1.0	b y dd y l 
بدلا 1.0	b y dd l A 
بدلتاهے	1.0	b y dd y l td A h e
بدلے 1.0	b y dd l e 
بدنام 1.0	b y dd n A m 
بدوشوں 1.0	b y dd o S o~ 
بدھ 1.0	b U ddh 
بر 1.0	b U r 
برآمدات 1.0	b y r y A m dd A td 
برا 1.0	b U r A 
براءی 1.0	b U r A i 
براءے 1.0	b y r A e 
برابر 1.0	b y r A b y r 
برابرتنخوا	1.0	b y r A b y r td n y x A
برازیل 1.0	b y r A z i l 
براعظم 1.0	b y r r e y y z y m 
براه 1.0	b y r A 
برباد 1.0	b y r b A dd 
برتا 1.0	b y r td A 
برتن 1.0	b y r td y n 
برخلاف 1.0	b y r x i l A f 
برداشت 1.0	b y r dd A S td 
بردباری 1.0	b U r dd b A r i 
برس 1.0	b y r y s 
برسلز 1.0	b y r s y l z 
برسوں 1.0	b y r s u~ 
برصغیر 1.0	b y r r e s y 7 i r 
برطانوی 1.0	b y r td A n v i 
برطانیه 1.0	b y r td A n j A 
برعکس 1.0	b y r y k s 
برقرار 1.0	b y r q y r A r 
برقراری	1.0	b y r q U r A r i
برقی 1.0	b y r q i 
برهان 1.0	b U r h A n 
بروز 1.0	b U r u z 
برگزیده 1.0	b y r g U z i dd A 
بری 1.0	b U r i 
بریانی 1.0	b i r j A n i 
بریں 1.0	b y r i~ 
بس 1.0	b y s 
بساط 1.0	b i s A td 
بستر 1.0	b i s td y r 
بسر 1.0	b i s y r 
بشرطیکه 1.0	b y S y r td e k e 
بصورت 1.0	b y s u r y td 
بطور 1.0	b y td O r 
بطور 1.0	b y td O r e 
بطور 1.0	b y td o r 
بطور 1.0	b y td o r e 
بظاهر 1.0	b y z A h i r 
بعد 1.0	b A dd 
بعدازاں 1.0	b y y dd y z A~ 
بعض 1.0	b A z 
بغیر 1.0	b y 7 Y r 
بل 1.0	b U l 
بلا 1.0	b i l l A 
بلاک 1.0	b i l A k 
بلتت	1.0	b y l td y td
بلتستان 1.0	b y l td i s td A n 
بلدیات 1.0	b y l dd i j A td 
بلند 1.0	b U l y n dd 
بلندی 1.0	b U l y n dd i 
بلندیاں 1.0	b U l y n dd i j A~ 
بلوچ 1.0	b y l l o tS 
بلوچستان 1.0	b y l o tS i s td A n 
بلوں 1.0	b i l l o~ 
بلکه 1.0	b y l k e 
بلکھڑ	1.0	b l i kh y r'
بلی 1.0	b i l i 
بلیٹن 1.0	b U l i t' y n 
بلیک 1.0	b i l Y k 
بم 1.0	b y m 
بمباری 1.0	b y m b A r i 
بمشکل 1.0	b y m U S k i l 
بموں 1.0	b y m o~ 
بن 1.0	b U n 
بنا 1.0	b U n A 
بناءی 1.0	b y n A i 
بناءے 1.0	b y n A e 
بنانا 1.0	b y n A n A 
بنانے 1.0	b y n A n e 
بناوٹ 1.0	b y n A v y t' 
بنایا 1.0	b y n A j A 
بنتا 1.0	b U n td A 
بنتی 1.0	b U n td i 
بنتے 1.0	b U n td e 
بند 1.0	b y n dd 
بنده 1.0	b y n dd A 
بندوبست 1.0	b y n dd o b y s td 
بندوقیں 1.0	b y n dd u q e~ 
بندوں 1.0	b y n dd o~ 
بندی 1.0	b y n dd i 
بننا 1.0	b U n n A 
بننے 1.0	b U n n e 
بنگله 1.0	b y N l A 
بنی 1.0	b U n i 
بنیادی 1.0	b U n j A dd i 
بنے 1.0	b U n e 
بهادر 1.0	b y h A dd U r 
بهادری 1.0	b y h A dd U r i 
بهار 1.0	b y h A r 
بهانے 1.0	b y h A n e 
بهاولپور 1.0	b y h A v y l p u r 
بهت 1.0	b o h y td 
بهت 1.0	b o td 
بهتر 1.0	b y h y td td y r 
بهتری 1.0	b i h td y r i 
بهترین 1.0	b e h td y r i n 
بهتے 1.0	b y h td e 
بهن 1.0	b y h y n 
بورڈ 1.0	b o r d' 
بوسیده 1.0	b o s i dd A 
بول 1.0	b o l 
بولا 1.0	b o l A 
بولتا 1.0	b o l td A 
بولنے 1.0	b o l n e 
بولے 1.0	b o l e 
بوٹیوں 1.0	b u t' i o~ 
بوڑھاهو	1.0	b o r'h A h o
بوڑھی 1.0	b u r'h i 
بٹھا 1.0	b i t'h A 
بپتا 1.0	b i p td A 
بچ 1.0	b y tS 
بچا 1.0	b U tS tS A 
بچاتے 1.0	b y tS A td e 
بچار 1.0	b i tS A r 
بچانے 1.0	b y tS A n e 
بچت 1.0	b y tS y td 
بچتے 1.0	b y tS td e 
بچنے 1.0	b y tS n e 
بچه 1.0	b U tS tS A 
بچو 1.0	b y tS o 
بچوں 1.0	b y tS u~ 
بچپن 1.0	b y tS p y n 
بچی 1.0	b y tS i 
بچے 1.0	b y tS tS e 
بڑ 1.0	b U r' 
بڑا 1.0	b y r' A 
بڑاتے	1.0	b y r' A td e
بڑوں 1.0	b y r' o~ 
بڑھ 1.0	b y r'h 
بڑھا 1.0	b y r'h A 
بڑھانے 1.0	b y r'h A n e 
بڑھایا 1.0	b y r'h A j A 
بڑھتی 1.0	b y r'h td i 
بڑھنا 1.0	b y r'h n A 
بڑھنے 1.0	b y r'h n e 
بڑی 1.0	b y r' i 
بڑے 1.0	b y r' e 
بک 1.0	b y k 
بکا 1.0	b U k A 
بکھری 1.0	b i kh r i 
بگٹی 1.0	b U g t' i 
بھاءی 1.0	bh A i 
بھابھی 1.0	bh A bh i 
بھارت 1.0	bh A r y td 
بھاری 1.0	bh A r i 
بھانت 1.0	bh A n td 
بھانپ 1.0	bh A m p 
بھانڈ 1.0	bh A n d' 
بھاگتا 1.0	bh A g td A 
بھاگتے 1.0	bh A g td e 
بھاگی 1.0	bh A g i 
بھر 1.0	bh y r 
بھرا 1.0	bh y r A 
بھرم 1.0	bh y r y m 
بھرپور 1.0	bh y r p u r 
بھری 1.0	bh y r i 
بھرے 1.0	bh y r e 
بھلا 1.0	bh U l A 
بھلاء	1.0	bh U l A
بھلیوں 1.0	bh y l j o~ 
بھلے 1.0	bh y l e 
بھنور 1.0	bh y n v y r 
بھول 1.0	bh u l 
بھوک 1.0	bh u k 
بھی 1.0	bh i 
بھیانک 1.0	bh y j A n y k 
بھیج 1.0	bh e dZ 
بھیجا 1.0	bh e dZ A 
بھیجتا 1.0	bh e dZ td A 
بھیجنے 1.0	bh e dZ n e 
بھیجی 1.0	bh e dZ i 
بھیجے 1.0	bh e dZ e 
بھیک 1.0	bh i k 
بی 1.0	b i 
بیا 1.0	b i j A 
بیان 1.0	b i j A n 
بیت 1.0	b Y td 
بیتابی 1.0	b e td A b i 
بیجھے	1.0	b i dZh e
بیدار 1.0	b e dd A r 
بیرونی 1.0	b e r u n i 
بیزاری 1.0	b e z A r i 
بیس 1.0	b i s 
بیشتر 1.0	b e S td y r 
بیشک 1.0	b e S y k 
بیمار 1.0	b i m A r 
بیماری 1.0	b i m A r i 
بیماریاں 1.0	b i m A r i j A~ 
بین 1.0	b e n 
بیناءی 1.0	b i n A i 
بینک 1.0	b Y n k 
بیوٹی 1.0	b i j u t' i 
بیوی 1.0	b i v i 
بیٹ 1.0	b i t' 
بیٹا 1.0	b e t' A 
بیٹابیٹی	1.0	b e t' A b e t' i
بیٹھ 1.0	b Y t'h 
بیٹھا 1.0	b Y t'h A 
بیٹھتا 1.0	b Y t'h td A 
بیٹھتے 1.0	b Y t'h td e 
بیٹھنا 1.0	b Y t'h n A 
بیٹھک 1.0	b Y t'h y k 
بیٹھی 1.0	b Y t'h i 
بیٹھے 1.0	b Y t'h e 
بیٹی 1.0	b e t' i 
بیٹے 1.0	b e t' e 
بیپ 1.0	b i p 
بیچ 1.0	b i tS 
بیچار	1.0	b e tS A r
بیڈمنٹن 1.0	b Y d' m i n t' y n 
بیڑا 1.0	b e r' A 
بیک 1.0	b Y k 
بیگ 1.0	b e g 
بیگم 1.0	b e g y m 
بیھٹک	1.0	b e y t' k
بے 1.0	b e 
بےروزگار 1.0	b e r o z g A r 
بےلاحقی	1.0	b e l A h y q i
بےچارا	1.0	b e tS A r A
بےکار 1.0	b e k A r 
ت	1.0	td
تءیس 1.0	td y i s 
تءیں 1.0	td y i~ 
تا 1.0	td A 
تاثر 1.0	td A s U r 
تاثرات 1.0	td A s U r A td 
تاج 1.0	td A dZ 
تاجکستان 1.0	td A dZ i k s td A n 
تاحال 1.0	td A h A l 
تارکین 1.0	td A r i k i n 
تاریخ 1.0	td A r i x 
تاریخی 1.0	td A r i x i 
تاریک 1.0	td A r i k 
تاریکی 1.0	td A r i k i 
تازه 1.0	td A z A 
تاش 1.0	td A S 
تاهم 1.0	td A h y m 
تاکه 1.0	td A k e 
تب 1.0	td y b 
تبادله 1.0	td y b A dd i l A 
تبارک 1.0	td y b A r y k 
تباه 1.0	td y b A 
تبدیل 1.0	td y b dd i l 
تبدیلی 1.0	td y b dd i l i 
