ءی	i
دبءی	d_d y b i
دداشت	d_d U d_d A S t_d
درکا	d_d y r k A
دریاءے	d_d r i j A e
دعاوں	d_d o~
دهانی	d_d y h A n i
دواں	d_d A~
دورکے	d_d u r k e
دوگنی	d_d o g n i
دیءے	d_d i e
دیابھابی	d_d i j A b_h A b i
دیاهے	d_d i j A h e
دیتاهے	d_d i j y t_d A h e
دیٹ	d_d e t'
دیکنھے	d_d i k e
دیکھاوا	d_d e k_h A v A
دیکھایاجاتاهے	d_d e k_h A j A d_Z A t_d A h e
ر	r
راجستھان	r A d_Z i s t_d_h A n
رهتاهے	r y h t_d A h e
روکاوٹ	r o k A v y t'
رکھااور	r y k_h A o r
رکھاهےاس	r y k_h A h e i s
زرداری	z y r d_d A r i
س	s
ساب	s A b
سازی	s A z i
سالهپانچ	s A l y h p A n t_S
سسے	s i s e
سطع	s y t_d t_d e
سلیب	i b
سنبھالتاهے	s n i b_h A l t_d A h e
سنوواءٹ	s y n O v A i t'
سنڈریلا	s y n d' y r i l A
سکوبی	s y k o b i
ش	S
شءیرز	S y i r z
شرکا	S y r k A
شریڈل	i d' y l
شنواری	S y n v A r i
شهیدطفیل	S y h i d_d e t_d i f i l
شوشل	S o S y l
شکنی	S y k n i
صحراءے	s U h y r A e
صلاحتیں	s y l A h y t_d i~
طالبانوں	t_d A l y b A n o~
طلباء	t_d y l b A
ظهبی	z y h b i
فتاوا	f t_d A v A
فروانی	f y r v A n i
فریقه	f y r i q A
فقهه	f U q y h A
فوتگی	f O t_d y g i
فور	f o r
فوقتا	f O q y t_d A
ق	q
قلعلے	y l e
قهقه	q y h q A
قی	q i
لءیے	l y i e
لاءزنگ	l A i z i N
لڑنے	l y r' n e
لکھنو	l i k_h y n o
بتلاهے	b y t_d l A h e
حالات	h A l A t_d
حققین	h y q q i q i n
حقیقین	h y q i q i n
داقبال	d_d A q y b A l
قوله	q u l A
وجودهےاس	v y d_Z u d_d y h e i s
وجودهےایک	v y d_Z u d_d y h e Y k
گراس	g y r A s
ناتجربه	n A t_d y d_Z y r b A
ناجلدی	n A d_Z y l d_d i
ناقصں	A~
نخواسته	n y x i s t_d A
نطروں	n e t_d y r o~
نظرقصور	n y z y r q s u r
نوشهره	n o S y h r A
نوٹیفیکیشن	n o t' i f Y k e S y n
نوں	n o~
نکڑپر	n k y r' p y r
نکیلا	n k e l A
نگے	m y N g e
نیواڈا	n i v A d' A
نیکٹا	n i k t' A
ه	m A
هانکتے	h A n k t_d e
هراس	h y r A s
هرصورت	h y r s u r y t_d
هسپتالو	h y s p y t_d A l o
هلکا	h i l k A
هلکی	h i l k i
کنار	k y n A r
هنسی	h y n s i
هنوستان	h n v y s t_d A n
هوء	h u
هوتاتھا	h o t_d A t_d_h A
هوتاهے	h o t_d A h e
هوتےکافر	h o t_d e k A f y r
هورهی	h o r y h i
هوسکی	h o s k i
هوٹلوں	h o~
هوکھیل	h o k_h i l
هٹادیں	h y t' A d_d i~
هکا	h k A
واءبر	v A i b r
وادء	v A d_d
واقفی	v A q y f i
وانصاف	v A n y s A f
وبیش	m u b e S
وتعالی	v y t_d A l i
وحیا	v y h j A
ورزیاں	v y r z i j A~
وقتا	v y q t_d A
وهند	m o h y n d_d
ٹ	t'
ٹهوهر	t' y h o h y r
ٹویٹ	t' v Y t'
ٹیوٹ	t' i o t'
ٹیپیکل	t' Y p Y k y l
ٹیکجوس	t' Y k y d_Z u s
پختونخوا	p U x t_d u n y x A
پردیکھا	p y r d_d e k_h A
پردے	p y r d_d e
پرپٹکتا	p y r p y t' k t_d A
پرپیوند	p y r p i j u n d_d
پنجگور	p y n d_Z y g o r
پنوکیوهر	p y n O k i o h y r
پهیلاءی	p y h i l A i
پورٹرز	p o r t' y r z
پولیسنگ	p o l Y s y N
پوچھاکه	p u t_S_h A k A
پٹانگ	p y t' A N
پچیده	p i t_S i d_d A
پچیدگیاں	p i t_S i d_d y g A~
پڑجاءے	p y r' y d_Z A e
پھربھی	p_h y r b_h i
پیپلز	p Y p y l z
چ	t_S
چاءیے	t_S A i e
چاهیءں	t_S A h i A~
چلاگیا	t_S y l A g i j A
چپرار	t_S U p y r A r
چھن	t_S_h y n
چھٹیوں	t_S_h y t' i o~
ڈاءنوساروں	d' A i n v y s A r o~
ڈاکڑ	d' A k y r'
ڈاکڑکو	d' A k y r' k o
کااحساس	k A i s
کاروءی	k A r u i
کاپلندا	k A p y l y n d_d A
کرارهے	k y r A r y h e
کراچ	k y r A t_S
کربتایا	k y r b y t_d A j A
کردو	k y r d_d o
کنسر	k y n s y r
کهاتیری	k y h A t_d i r i
کهاجاتاهے	k y h A d_Z A t_d A h e
کهه	k y h A
کوء	k o
کوءیسچن	k o i s t_S y n
کواگر	k v A g y r
کوایسی	Y s i
کوجک	k o d_Z y k
کورسسز	k o r y s s i z
کونفلکٹ	k o n y f y l k t'
کوچاهءے	k o t_S A h y e
کھرونچوں	k_h y r u n t_S o~
کیاجاتاهے	k i j A d_Z A t_d A h e
کیوںکر	k i o~ k y r
کےلءیے	k e l y i e
کےچار	k e t_S A r
گاڑھتی	g A r'_h t_d i
گاکه	g A k A
گذشته	g U z S t_d A
گربا	g y r b A
گرگءی	g y r g y i
گریجوءٹس	g y r i d_Z u i t' s
گلبدین	g U l b y d_d i n
گلوکا	g U l o k A
گلیشءرز	g y l e S i y r z
گنگناءیں	g y N g y n A i~
گیااور	g i j A o r
گیوزیپی	g i o z i p i
گیے	g i e
یاداداشت	j A d_d A d_d A S t_d
یانوجوان	j A n O d_Z y v A n
یاکھیل	j A k_h i l
یونینز	j u n i n z
یکجا	m Y k y d_Z Ae
